"idPlayer","namePlayer","yearSeason","ppg_20_ind","rpg_10_ind","apg_8_ind","all_NBA1_ind","all_NBA2_ind","all_NBA3_ind","ppg_top5_ind","ppg_leader_ind","rpg_top5_ind","rpg_leader_ind","apg_top5_ind","apg_leader_ind","start_41_games_ind","start_62_games_ind","all_star_ind","win_award_mvp","win_award_roy","win_award_dpoy","win_award_smoy","win_award_mip","received_votes_mvp","received_votes_roy","received_votes_dpoy","received_votes_smoy","received_votes_mip","start_season","partition_col","numberOverallPick","age","years_since_draft"
243,"Aaron McKie",2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2000-10-01,"training",17,27.9972621492129,7
243,"Aaron McKie",2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001-10-01,"training",17,28.9965776865161,8
243,"Aaron McKie",2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002-10-01,"training",17,29.9958932238193,9
243,"Aaron McKie",2004,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2003-10-01,"validation",17,30.9952087611225,10
243,"Aaron McKie",2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004-10-01,"training",17,31.9972621492129,11
243,"Aaron McKie",2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-10-01,"training",17,32.9965776865161,12
243,"Aaron McKie",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-10-01,"training",17,33.9958932238193,13
101223,"Aaron Miles",2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-10-01,"training",999,22.4695414099932,9999
1630174,"Aaron Nesmith",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-10-01,"holdout",14,20.9609856262834,1
78286,"Aaron Swinson",1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994-10-01,"training",999,23.7782340862423,9999
